District,District Long
Piemonte,Piemonte 1
Piemonte,Piemonte 2
Lombardia,Lombardia 1
Lombardia,Lombardia 2
Lombardia,Lombardia 3
Trentino-South Tyrol,Trentino-South Tyrol
Veneto,Veneto 1
Veneto,Veneto 2
Friuli-Venezia Giulia,Friuli-Venezia Giulia
Liguria,Liguria
Emilia-Romagna,Emilia-Romagna
Toscana,Toscana
Umbria,Umbria
Marche,Marche
Lazio,Lazio 1
Lazio,Lazio 2
Abruzzo,Abruzzo 1
Abruzzo,Abruzzo 2
Molise,Molise
Campania,Campania 1
Campania,Campania 2
Puglia,Puglia
Basilicata,Basilicata
Calabria,Calabria
Sicilia,Sicilia 1
Sicilia,Sicilia 2
Sardegna,Sardegna
